846;REPERTORIO DE ÓPERA Y ORATORIO
848;REPENTIZACIÓN, TRANSPOSICIÓN Y ACOMPAÑAMIENTO
849;FRANCÉS (CONSERV.)
851;ALEMÁN (CONSERV.)
852;ITALIANO (CONSERV.)
860;HISTORIA DE LA MÚSICA
862;TIMPLE
882;INSTRUMENTOS DE PÚA
910;ORIENTACIÓN EDUCATIVA
911;LOGOPEDIA
925;ESPECIALISTA BUCEO
929;ESPECIALISTA EN COORDINACIÓN DE EMERGENCIAS Y PROTECCIÓN CIVIL
